Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Leandro Bacuna,"WB (R), DM, M (RC)",6.87,6.87,9,12,1,11,12,11,13,13,2,2,3,11,13,11,12,3,11,14,8,12,11,10,2,11,9,2,10,6,11,7,1,10,14,11,12,12,9,9,2,2,12,10,12,13,14,1,- -  -,,13
Freddie Bell,"DM, M (C)",-,-,9,9,2,11,10,9,6,12,4,1,3,8,6,14,5,3,9,16,7,2,9,3,2,9,7,2,3,6,10,9,3,8,13,15,5,4,10,14,1,2,9,11,10,6,6,3,- -  -,,5
Jonny Williams,"M (LC), AM (RLC)",6.90,6.90,11,12,3,13,12,6,6,10,1,1,2,7,10,13,11,2,11,12,6,4,9,11,1,6,7,1,10,13,13,9,3,13,11,13,10,11,12,12,2,2,12,12,13,12,6,1,- -  -,,10
Jack Roles,"DM, M/AM (C)",6.90,6.90,13,9,2,12,12,8,11,12,3,2,1,10,9,11,11,3,13,15,8,4,12,8,3,6,8,2,9,10,11,13,3,11,11,11,8,9,10,12,1,2,9,9,12,11,8,2,- -  -,Wnt,11
Teddy Jenks,"DM, M/AM (C)",7.07,7.07,16,12,3,12,14,8,11,14,1,2,2,9,10,12,13,3,11,15,9,7,9,12,3,14,9,2,7,9,9,10,2,11,14,9,7,7,13,12,1,2,13,11,10,9,11,2,- -  -,Wnt,14
James Sweet,"D/WB (R), DM, M (RC)",6.75,6.75,13,14,2,13,13,9,8,11,2,2,4,10,6,12,11,2,8,8,9,10,7,7,1,11,7,2,10,12,11,7,3,9,13,8,10,10,9,10,1,2,11,10,10,13,8,1,- -  -,,12
John Bostock,"DM, M (C)",6.63,6.63,9,13,4,12,8,6,12,10,1,3,3,11,13,13,10,1,10,11,4,5,12,12,2,8,7,2,10,10,12,7,2,11,9,10,10,9,10,12,4,3,9,13,11,10,8,3,- -  -,,9
Micah Hamilton,"M (C), AM (RLC)",7.02,7.02,12,13,1,12,8,7,12,9,3,2,1,11,2,12,13,2,11,13,6,4,7,3,1,5,7,2,3,14,12,11,2,11,12,14,10,6,5,12,1,1,5,13,9,12,12,2,- -  -,,14
Jack Jenkins,"DM, M (C)",6.88,6.88,16,12,1,11,11,10,9,14,2,3,2,10,6,12,10,1,8,13,10,2,11,8,1,7,7,1,5,8,12,8,1,9,13,10,7,6,11,12,4,1,8,12,10,12,13,3,- -  -,,11
Liam Kelly,"DM, M/AM (C)",6.70,6.70,13,12,1,10,11,6,7,13,3,4,3,9,13,11,11,1,14,15,8,6,11,13,2,5,5,1,13,10,10,10,1,9,11,9,10,12,11,12,2,1,12,13,13,12,11,1,- -  -,Trn,12
Antoni Sarcevic,"DM, M/AM (C)",7.09,7.09,14,12,1,12,12,10,13,13,1,1,3,11,14,12,9,2,12,14,9,6,11,13,1,11,9,3,9,12,12,11,3,11,15,11,9,10,11,12,3,3,13,13,12,10,13,2,- -  -,,10
Tom Carroll,"DM, M (C)",-,-,11,14,1,13,14,6,5,11,2,1,1,10,9,13,10,3,12,14,8,4,7,6,3,6,5,2,10,12,12,6,2,8,10,11,13,14,11,12,3,3,7,15,11,13,9,2,- -  -,,8
Richie Smallwood,"DM, M (C)",6.73,6.73,19,8,1,9,17,14,13,14,1,3,2,12,9,11,10,3,7,15,12,9,6,16,1,9,11,2,7,4,9,6,3,6,15,11,8,10,13,12,3,3,19,13,11,10,18,3,- -  -,,10
Adam Lewis,"D/WB (L), DM, M (LC), AM (L)",6.66,6.66,11,13,3,12,11,12,8,10,2,2,2,7,14,12,12,3,8,12,7,5,10,10,3,5,6,1,12,12,12,10,1,12,17,9,13,13,8,11,3,3,11,9,9,10,14,4,- -  -,,14
Hector Kyprianou,"D (C), DM, M (C)",6.79,6.79,14,9,1,12,15,10,11,11,3,2,3,12,5,13,9,3,10,10,12,8,8,7,4,13,9,3,8,13,13,9,1,10,10,11,9,8,10,13,1,1,10,12,10,9,7,3,- -  -,,10
Ethan Galbraith,"DM, M/AM (C)",6.76,6.76,14,12,3,13,13,10,7,12,2,2,4,10,7,13,11,2,10,15,7,3,12,5,1,8,8,3,8,11,11,10,3,12,11,10,9,9,10,13,3,2,10,12,12,13,11,4,- -  -,,12
Charlie Colkett,"DM, M/AM (C)",6.89,6.89,11,13,1,12,12,9,8,11,3,3,3,10,8,13,12,1,9,12,8,7,11,9,4,10,7,2,9,14,12,11,1,12,12,13,12,12,12,12,3,3,9,11,12,11,13,3,- -  -,Wnt,11
George Moncur,M/AM (LC),6.87,6.87,11,13,2,13,11,7,13,10,2,3,1,7,11,13,11,3,12,8,7,6,13,10,3,8,7,1,14,14,13,11,2,11,12,10,11,11,10,12,2,3,9,12,10,12,11,1,- -  -,,11
Paris Maghoma,"DM, M/AM (C)",6.77,6.77,13,12,3,13,12,10,11,12,3,3,2,10,8,11,11,3,10,12,8,5,9,8,3,9,8,1,11,12,10,8,4,10,15,14,8,9,11,13,4,2,9,10,13,11,12,1,- -  -,,10
Jake Hesketh,M/AM (RLC),6.80,6.80,12,11,3,13,10,10,3,11,1,2,3,5,9,13,10,1,9,12,9,7,9,8,3,7,8,2,8,13,12,8,3,13,11,10,11,8,9,11,2,3,13,7,10,11,16,4,- -  -,Inj,10
Jack Henry-Francis,"DM, M/AM (C)",6.71,6.71,15,10,1,8,15,13,9,12,2,3,3,10,5,12,11,1,8,10,11,3,11,10,2,7,7,3,10,9,10,8,2,10,13,11,8,10,10,8,2,2,14,10,11,8,13,3,- -  -,,12
George McEachran,"DM, M/AM (C)",6.73,6.73,11,11,3,16,9,6,6,8,2,2,2,7,9,13,11,2,8,13,6,4,10,5,2,5,6,3,8,14,14,10,2,12,15,13,8,8,8,14,3,1,8,7,8,13,8,1,- -  -,,13
James Balagizi,"M (C), AM (LC)",7.06,7.06,11,12,3,14,9,7,11,10,2,1,3,7,9,13,12,3,12,12,7,8,8,7,1,10,11,1,10,12,13,9,3,13,11,9,11,8,8,13,1,2,8,12,11,13,11,2,- -  -,,13
Matty Daly,"DM, M/AM (C)",6.85,6.85,15,12,3,11,12,8,10,11,2,2,2,10,9,12,12,2,11,14,11,4,11,8,1,9,8,3,8,13,11,11,2,12,10,12,10,7,11,12,2,3,11,12,12,10,4,2,- -  -,,12
Marc Leonard,"DM, M/AM (C)",6.86,6.86,13,11,2,11,14,10,11,14,2,1,3,12,7,10,12,3,12,12,7,6,8,10,3,9,7,2,7,9,11,8,3,9,13,11,8,8,12,10,4,1,11,11,12,11,12,2,- -  -,,13
Stuart O'Keefe,"DM, M (C)",6.91,6.91,16,9,1,10,16,13,11,15,3,1,2,10,10,10,9,2,9,13,12,8,10,11,1,7,10,2,9,9,10,8,2,7,10,9,8,9,10,9,1,1,15,12,9,9,18,1,- -  -,,9
Shaun Williams,"D (C), DM, M (C)",6.92,6.92,13,12,1,14,14,12,9,10,1,2,2,14,14,11,6,3,11,12,12,5,11,13,3,11,10,1,13,7,12,10,2,9,14,11,9,15,13,12,2,2,11,9,12,6,10,2,- -  -,Opt,6
Cole Skuse,"DM, M (C)",6.88,6.88,13,7,3,12,13,11,9,12,1,3,1,15,10,12,6,2,8,18,12,8,4,15,3,12,11,2,6,4,12,4,1,7,14,13,8,8,12,13,3,2,13,9,14,8,10,2,- -  -,,7
Stevie Mallan,M/AM (C),6.83,6.83,13,14,3,13,13,8,11,13,2,3,2,7,12,12,10,1,14,12,8,5,13,10,1,8,5,3,14,13,11,9,1,11,13,12,11,12,10,13,1,1,10,10,13,11,11,3,- -  -,,11
Alex Gilbey,"DM, M/AM (C)",6.94,6.94,12,10,1,11,13,11,12,14,3,3,3,9,8,11,11,3,11,15,8,6,11,12,2,11,10,1,9,8,12,9,1,12,14,10,8,8,13,10,1,2,12,12,11,11,13,2,- -  -,,10
