Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Sam Howes,GK,7.50,7.50,8,7,6,4,9,1,10,8,9,11,6,10,2,5,12,11,2,6,3,3,3,13,9,13,2,7,7,2,5,1,5,3,7,9,2,3,8,6,10,9,10,9,11,10,8,11,- -  -,,13
Sam Hornby,GK,7.22,7.22,9,10,9,7,8,1,11,9,12,10,8,8,1,9,8,8,2,12,3,2,2,8,11,12,2,11,7,2,7,3,2,1,12,10,1,5,12,10,12,13,13,9,7,11,2,13,- -  -,,8
Alex Smithies,GK,6.94,6.94,11,9,13,11,13,2,9,11,14,12,12,13,4,10,10,14,8,13,1,1,2,12,13,12,2,12,6,6,11,1,5,2,16,13,1,4,11,12,11,12,14,11,11,11,10,13,- -  -,,9
Rory Watson,GK,6.93,6.93,9,7,11,10,12,3,10,6,10,12,2,11,3,10,7,10,2,11,1,1,2,9,9,13,2,13,7,2,9,3,6,3,13,9,1,4,8,10,10,9,12,11,9,10,13,13,- -  -,,7
Joe Lumley,GK,6.91,6.91,11,10,13,8,12,2,11,10,12,14,8,11,5,7,9,11,3,11,3,1,1,13,16,14,3,12,7,1,9,3,14,2,13,10,3,3,10,11,15,10,11,9,11,10,7,14,- -  -,Inj,8
Joe Murphy,GK,6.88,6.88,9,5,10,6,10,2,9,7,10,5,8,12,1,6,2,11,3,11,3,2,3,14,12,13,6,12,4,4,6,3,5,1,13,10,3,3,11,10,15,13,12,9,11,5,13,11,- -  -,,1
James Montgomery,GK,6.86,6.86,8,6,10,10,9,2,8,11,11,12,3,11,3,9,9,11,8,11,3,3,3,9,11,12,4,7,6,3,5,2,1,2,10,11,2,2,7,8,13,9,12,13,13,11,5,12,- -  -,,9
Nick Townsend,GK,6.84,6.84,10,7,11,9,10,2,12,11,12,10,9,10,1,12,10,11,8,10,3,2,2,7,13,15,3,12,4,5,8,3,11,6,12,9,2,2,8,8,11,12,12,11,11,11,11,13,- -  -,,10
Tom Billson,GK,6.84,6.84,8,9,10,6,9,2,12,5,6,13,13,11,3,9,8,10,3,12,2,2,1,6,10,14,1,9,8,3,5,1,2,2,16,14,1,5,8,9,8,11,7,10,12,9,5,12,- -  -,,8
Ahamed Vigneswaran,GK,6.84,6.84,15,7,10,8,15,2,9,11,6,12,10,12,3,8,7,11,1,14,2,1,1,10,12,13,1,14,6,3,3,1,7,1,18,14,1,3,14,10,10,11,12,14,11,10,14,15,- -  -,,8
