Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Tyler Blackwood,"M (R), AM (RL), ST (C)",7.25,7.25,10,9,3,10,8,4,10,9,4,2,3,5,9,10,13,1,11,14,5,6,10,8,3,12,10,2,5,12,10,11,2,9,3,8,7,6,9,10,1,1,6,7,10,10,3,2,- -  -,,12
Courtney Baker-Richardson,"AM (R), ST (C)",7.22,7.22,12,8,1,10,8,5,15,12,2,2,2,4,11,9,12,2,10,13,3,5,9,7,3,14,13,1,5,12,10,12,3,10,12,8,8,5,10,12,1,3,14,9,11,12,14,2,- -  -,,12
Jadel Yaduat,"AM (L), ST (C)",7.20,7.20,7,3,4,8,6,4,7,7,1,3,2,3,1,7,13,1,12,13,5,1,6,2,1,10,13,1,5,13,8,10,2,10,7,10,8,6,5,11,1,1,2,3,6,13,11,2,- -  -,U18,14
Amadou Bakayoko,"AM (L), ST (C)",7.18,7.18,14,10,3,10,15,5,16,16,1,2,3,10,14,9,12,2,12,14,4,5,8,10,1,15,12,1,7,9,9,11,3,9,11,9,8,5,10,11,3,2,13,9,13,11,13,2,- -  -,,12
Muhammadu Faal,"AM (RL), ST (C)",7.12,7.12,11,6,2,9,6,2,11,11,2,2,2,5,8,8,14,3,6,11,2,1,7,2,3,15,5,1,4,15,11,11,3,11,7,4,6,1,3,10,3,2,8,12,3,15,7,1,- -  -,,14
Mateo Mejía,"AM (R), ST (C)",7.10,7.10,10,5,2,12,8,3,10,10,2,3,3,3,10,7,12,2,12,14,2,4,6,3,2,13,8,1,6,10,11,13,3,10,17,7,5,4,8,13,3,3,8,8,9,7,9,2,- -  -,Wp,12
Tyrese Briscoe,ST (C),7.10,7.10,12,7,2,11,10,7,13,14,1,2,2,8,5,7,13,3,8,12,6,7,7,9,2,11,10,2,9,11,9,9,3,11,18,9,7,4,10,8,3,1,9,12,10,11,14,2,- -  -,,15
Kabongo Tshimanga,ST (C),7.06,7.06,12,10,3,12,12,3,13,12,1,2,2,8,14,8,12,3,13,12,3,2,7,8,1,9,7,3,4,10,12,15,3,11,12,10,6,6,10,12,2,1,8,11,12,13,6,2,- -  -,,13
Kelsey Mooney,"AM (R), ST (C)",7.05,7.05,10,8,3,10,11,5,8,11,3,1,1,3,10,9,12,2,7,11,5,3,9,3,3,9,8,3,5,8,10,8,1,9,11,7,6,6,10,9,2,1,7,10,8,11,9,2,- -  -,Lst,12
Armstrong Oko-Flex,"M/AM (RL), ST (C)",7.05,7.05,9,8,1,10,8,8,4,10,2,1,2,6,4,8,14,3,12,9,7,7,7,7,3,14,6,2,7,10,12,11,1,12,5,10,8,5,7,7,2,3,4,13,10,12,13,1,- -  -,Wnt,14
Jerome Sinclair,"AM (RL), ST (C)",7.03,7.03,7,9,1,11,12,5,10,8,3,1,3,6,11,8,11,3,11,7,5,5,10,3,2,10,7,1,4,12,13,10,3,12,6,7,8,6,8,9,1,2,9,10,11,8,6,2,- -  -,,10
Will Harris,"AM (RLC), ST (C)",7.02,7.02,15,10,2,10,13,4,14,11,1,3,3,7,11,9,10,3,10,17,4,3,8,7,1,14,9,3,5,6,8,11,3,7,13,8,6,5,8,10,1,1,14,11,12,13,10,3,- -  -,,9
Tristan Abrahams,"M/AM (R), ST (C)",7.00,7.00,9,10,2,9,10,6,13,13,1,3,3,5,12,9,13,3,9,12,8,5,10,6,1,13,8,2,7,8,10,10,3,9,13,9,7,8,9,10,2,3,10,11,10,12,10,3,- -  -,,13
Ollie Hulbert,"AM (R), ST (C)",7.00,7.00,10,4,2,10,7,2,8,10,3,3,3,4,5,5,9,2,9,8,4,5,6,10,3,12,9,3,7,7,11,10,3,10,12,11,6,4,10,9,2,2,6,6,11,10,12,4,- -  -,,11
Arthur Gnahoua,"M (RL), AM (RLC), ST (C)",6.99,6.99,10,9,1,9,10,7,11,11,1,1,2,10,2,9,12,3,9,10,3,4,11,6,1,12,8,3,6,13,9,9,1,9,11,8,11,9,7,8,3,2,7,12,6,12,6,1,- -  -,,12
Sam Dalby,"AM (C), ST (C)",6.98,6.98,10,10,2,11,13,3,13,14,2,3,3,4,8,10,11,2,9,10,3,2,6,4,4,14,10,3,6,8,11,12,2,8,11,10,4,2,8,13,1,3,11,13,10,9,3,3,- -  -,Ask,11
Joe Nuttall,"AM (R), ST (C)",6.98,6.98,10,10,3,8,11,8,13,14,3,3,3,8,9,9,11,1,12,14,7,6,8,7,3,14,10,4,9,8,9,11,1,8,4,8,8,7,10,9,2,2,10,13,13,10,9,3,- -  -,,10
