Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Jack Young,"DM, M (C)",7.17,7.17,12,10,3,12,11,8,8,13,4,2,3,9,7,13,12,2,7,12,9,5,10,5,3,5,8,2,9,7,11,8,3,9,8,11,10,9,12,12,2,2,8,9,10,10,8,1,- -  -,Wnt,11
Cody Pennington,"DM, M (C), AM (R)",7.12,7.12,15,9,2,12,13,12,8,16,3,4,1,10,5,11,15,3,7,13,10,4,6,12,4,7,9,1,8,7,12,7,3,11,18,9,9,12,12,8,1,3,14,11,11,16,15,1,- -  -,Wnt,12
Teddy Jenks,"DM, M/AM (C)",7.08,7.08,15,12,3,12,14,8,11,14,1,2,2,9,10,12,13,3,11,15,9,6,8,12,3,14,9,2,7,9,9,9,2,11,14,9,6,7,13,12,1,2,13,11,10,9,11,2,- -  -,,14
Callum Rowe,"WB (L), DM, M (LC), AM (L)",7.06,7.06,11,12,3,12,11,11,9,12,1,1,4,9,3,11,11,2,9,13,9,8,5,8,3,9,6,1,3,10,10,8,3,8,14,10,11,6,10,9,1,2,9,9,12,11,9,1,- -  -,Inj,13
Callum Nicolson,"DM, M (C)",7.05,7.05,14,15,4,12,8,9,6,10,3,3,1,9,3,9,8,2,9,12,6,4,9,5,2,8,1,3,7,5,13,8,3,4,8,13,7,7,8,11,2,3,8,8,7,7,12,2,- -  -,Loa,6
Jack Evans,"DM, M (C)",7.05,7.05,12,11,1,11,13,13,13,11,2,3,3,12,6,11,11,3,7,15,10,4,5,7,1,12,9,2,6,7,11,5,1,9,12,10,6,7,12,9,3,3,14,7,12,12,10,3,- -  -,Wnt,9
Reiss Russell-Denny,"DM, M (C), AM (RC)",7.00,7.00,13,14,1,12,10,4,8,11,2,3,3,5,6,12,12,2,8,13,4,5,11,5,4,6,5,1,12,13,10,7,3,10,5,7,8,10,8,11,2,3,6,8,11,12,9,2,- -  -,,13
Max Power,"D (R), DM, M (C)",6.99,6.99,15,12,1,12,14,12,12,14,1,2,3,11,12,11,10,1,11,15,10,13,12,12,1,10,11,2,14,7,12,12,2,10,14,7,13,14,10,9,2,1,12,11,12,11,15,1,- -  -,,10
Matt Robinson,"DM, M (C)",6.96,6.96,13,11,3,12,13,9,12,14,3,3,3,10,7,10,11,3,9,13,8,5,9,12,2,11,9,3,8,8,11,10,3,8,10,12,8,7,10,10,2,1,11,11,11,10,9,1,- -  -,Opt,10
Ellis Chapman,"DM, M (C)",6.96,6.96,11,13,2,11,12,11,12,14,1,2,2,9,9,13,11,1,12,12,12,4,12,8,2,9,8,1,7,9,12,8,3,10,14,13,10,9,10,13,2,4,10,8,13,12,6,3,- -  -,,11
Brad Walker,"D (C), DM, M (C)",6.95,6.95,12,12,1,12,12,11,12,12,1,3,2,12,6,13,10,1,12,14,9,4,13,11,1,12,11,2,12,8,11,9,3,9,12,9,8,7,11,12,2,4,12,12,12,10,11,3,- -  -,,10
Matty Palmer,"DM, M (C)",6.95,6.95,11,12,2,12,13,9,8,13,2,1,2,9,7,12,9,1,12,14,8,5,11,8,1,8,7,2,12,12,13,8,1,9,10,11,11,12,9,12,2,2,11,9,10,11,9,3,- -  -,,10
Akil Wright,"D (C), DM, M (C)",6.95,6.95,14,8,3,9,11,12,13,13,1,3,1,11,4,10,12,1,10,12,9,4,8,8,3,12,10,1,4,8,8,5,1,7,13,10,5,3,10,10,1,3,14,10,10,10,13,1,- -  -,,11
