Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Ryan Hall,M/AM (R),7.40,7.40,10,4,3,12,5,5,7,11,1,1,1,3,4,10,14,1,9,4,3,1,5,3,3,5,2,2,3,11,10,5,1,11,12,5,10,7,4,5,1,2,6,8,6,10,3,3,- -  -,Lst,14
Tobias Hurlock,M/AM (R),7.31,7.31,11,5,2,14,6,3,5,12,3,3,2,2,3,8,14,1,13,14,1,1,4,7,2,2,5,2,1,15,12,10,2,6,14,11,8,4,4,8,3,1,4,9,6,16,10,3,- -  -,,15
Vaughn Covil,"M (RL), AM (RLC), ST (C)",7.24,7.24,11,8,2,12,7,5,9,11,1,4,2,6,2,10,13,1,10,10,5,7,8,2,2,8,7,2,9,9,10,9,3,12,11,8,11,8,8,10,3,4,9,8,8,13,7,1,- -  -,,13
George Walters,M (L),7.22,7.22,12,5,2,9,7,5,9,12,2,1,2,4,3,10,16,2,9,12,5,4,7,7,1,3,7,2,4,10,11,4,2,9,8,6,10,6,6,9,1,3,7,13,7,17,9,1,- -  -,,15
George Thomson,"D/WB (R), M/AM (RC)",7.20,7.20,12,10,1,11,10,6,8,9,1,2,2,5,8,11,9,3,11,9,4,2,12,10,3,9,8,2,8,12,10,10,3,9,10,9,12,11,7,11,3,1,11,8,9,8,7,1,- -  -,,9
Deri Corfe,M/AM (L),7.19,7.19,9,8,1,10,8,4,11,12,1,1,3,6,4,12,13,1,9,7,6,7,12,7,3,10,7,2,5,12,12,9,2,11,14,10,12,6,7,9,1,2,3,9,9,10,7,2,- -  -,Unh,14
Luke Bolton,"WB/M (R), AM (RL)",7.15,7.15,14,8,3,11,14,9,12,12,3,3,1,8,9,9,14,2,8,12,8,7,8,7,1,8,7,3,8,12,10,8,1,10,11,8,7,8,8,7,1,2,12,7,8,12,9,2,- -  -,,15
Michael Jacobs,"M (RL), AM (RLC)",7.15,7.15,13,12,1,12,9,6,8,10,1,2,1,6,9,10,8,2,11,10,5,3,11,5,3,9,7,1,9,12,12,9,2,10,9,9,11,12,8,11,2,3,9,7,8,8,5,3,- -  -,,9
Jasper Pattenden,WB/M/AM (L),7.11,7.11,11,10,2,10,10,5,9,12,2,2,2,4,2,10,13,3,11,8,6,8,8,9,3,4,5,3,7,11,9,7,2,13,15,11,11,7,8,9,1,1,8,12,10,12,14,2,- -  -,Wnt,13
Dom Plank,"M (R), AM (RC), ST (C)",7.09,7.09,8,13,1,9,6,4,9,13,2,3,2,6,2,9,13,3,11,10,3,4,6,11,3,7,5,1,5,10,9,9,3,11,11,9,6,2,6,7,2,3,3,10,9,11,5,1,- -  -,Wnt,13
Jordan Nicholson,"M (RL), AM (RLC)",7.06,7.06,12,9,3,10,8,4,6,8,3,2,2,3,5,11,12,2,11,8,3,3,10,5,1,6,5,3,7,9,11,9,1,11,11,7,11,8,8,12,4,3,8,7,8,11,10,2,- -  -,,11
Will Randall,M/AM (RL),7.06,7.06,12,10,1,12,13,5,7,12,3,3,1,6,8,10,12,2,12,12,4,1,10,6,3,9,9,1,10,13,11,10,3,13,11,8,11,12,8,10,1,1,11,10,11,13,6,1,- -  -,,11
Armstrong Oko-Flex,"M/AM (RL), ST (C)",7.05,7.05,9,8,1,10,8,7,4,10,2,1,2,6,4,8,14,3,12,9,7,7,7,7,3,14,6,2,7,11,12,12,1,12,5,10,8,5,7,7,2,3,6,13,11,12,13,1,- -  -,Wnt,14
Jack Lankester,"M (RL), AM (RLC)",7.04,7.04,13,12,2,13,8,8,9,13,2,3,1,6,13,13,12,3,10,8,8,6,13,9,3,9,7,2,10,10,13,12,2,14,13,10,12,11,9,12,2,1,7,14,9,12,11,3,- -  -,,11
Nathaniel Mendez-Laing,"WB/M (R), AM (RL)",7.02,7.02,12,10,3,12,12,5,12,9,2,1,2,10,9,12,11,1,11,10,8,7,13,6,1,9,10,2,9,14,12,12,1,11,7,7,13,11,7,13,2,4,12,10,10,11,14,1,- -  -,,12
Harry Lewis,D/M/AM (L),7.01,7.01,11,10,2,12,9,7,9,11,2,1,1,9,5,11,12,3,8,10,10,4,8,12,3,4,6,3,11,8,10,8,1,10,7,12,13,11,11,9,1,1,7,11,10,10,5,3,- -  -,,12
James McClean,"D/WB (L), M/AM (RL)",7.01,7.01,18,11,2,11,14,6,11,8,3,1,1,7,10,10,7,3,12,13,6,7,14,8,2,9,10,2,12,13,11,10,2,9,13,9,9,11,10,12,2,3,14,12,8,7,18,1,- -  -,Unh,7
Max Wright,M/AM (R),7.00,7.00,11,9,1,10,8,6,8,10,1,3,1,6,5,9,14,2,10,13,5,6,10,5,2,9,6,2,7,8,10,9,1,11,14,9,10,7,9,9,1,3,8,12,9,12,8,3,- -  -,,13
Liam Mandeville,"M (R), AM (RLC), ST (C)",7.00,7.00,10,12,4,11,12,6,9,9,3,3,4,7,10,10,12,2,12,14,5,4,11,3,1,9,8,3,11,14,12,10,1,10,15,11,11,10,7,11,2,2,5,9,10,12,4,2,- -  -,,12
