Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Claudio Ofosu,"M (L), AM (RL), ST (C)",7.50,7.50,10,5,2,9,12,5,10,8,1,1,3,6,11,6,12,2,9,12,5,4,8,8,2,13,7,3,10,14,7,6,3,9,13,4,7,11,6,9,1,3,7,7,10,9,7,3,- -  -,Frt,14
Ben Acey,AM (RLC),7.48,7.48,12,12,2,12,11,6,7,13,2,1,1,9,4,9,13,1,12,12,8,8,8,2,3,6,10,1,7,11,10,6,3,8,11,12,15,9,12,11,3,2,6,10,11,12,5,2,- -  -,Wnt,12
Callum Ainley,"AM (RLC), ST (C)",7.40,7.40,12,11,2,11,12,5,6,10,3,1,1,5,7,12,12,2,13,13,5,4,7,5,3,7,6,3,7,16,12,7,1,12,14,10,7,4,10,10,2,4,8,13,9,10,8,1,- -  -,,10
Tushaun Walters,"AM (RL), ST (C)",7.40,7.40,10,9,2,7,9,2,7,7,3,2,1,5,1,6,13,2,8,12,3,3,6,6,1,6,9,2,7,11,9,6,3,7,11,7,8,7,6,8,2,3,7,8,7,10,11,1,- -  -,Wnt,15
Chisom Afoka,"M (L), AM (RL), ST (C)",7.40,7.40,7,8,3,14,6,4,6,6,1,1,2,5,4,8,14,1,9,13,2,5,8,5,3,8,6,3,5,14,13,7,3,13,13,7,10,5,4,12,1,3,7,10,8,14,8,4,- -  -,Wnt,14
Harold King,"D/WB (R), AM (RC)",7.26,7.26,9,9,3,14,13,2,7,11,4,1,1,5,6,13,12,1,11,16,3,2,5,4,2,7,7,3,10,13,10,8,4,10,14,10,7,7,6,10,2,3,11,9,10,12,6,1,- -  -,Wnt,12
Kai Corbett,"M (R), AM (RL)",7.26,7.26,8,11,2,12,9,5,7,10,1,1,3,5,14,9,13,2,9,10,5,2,9,3,2,8,4,1,13,15,9,10,3,12,12,10,11,12,8,10,1,1,5,10,9,12,6,2,- -  -,,12
Justin Amaluzor,"M/AM (RL), ST (C)",7.23,7.23,8,8,3,8,8,5,12,8,1,3,2,5,6,7,14,2,8,12,6,6,4,5,1,11,6,3,5,10,7,7,2,11,13,5,9,6,7,8,1,2,12,10,7,13,10,3,- -  -,,14
Jurgen Caruana,"M (C), AM (RC)",7.20,7.20,15,5,2,7,10,9,8,13,1,2,2,7,6,8,12,2,6,16,8,1,4,9,3,4,6,2,4,14,9,5,2,8,13,7,10,8,4,5,2,3,14,14,10,13,11,1,- -  -,,11
Corey Blackett-Taylor,"M (L), AM (RL)",7.20,7.20,10,5,1,11,9,3,11,10,4,2,3,6,8,9,15,1,10,10,4,5,8,7,2,10,8,1,7,12,9,7,2,10,10,9,7,8,8,7,2,3,1,8,9,11,7,1,- -  -,Inj,16
Liam McCarron,"M (L), AM (RL)",7.19,7.19,12,9,3,12,11,8,12,13,1,2,1,7,8,10,13,3,10,13,6,3,8,7,4,8,6,2,9,11,11,8,1,13,11,10,9,9,8,9,2,2,10,10,9,11,11,3,- -  -,,13
Liam Burt,"M (LC), AM (RLC)",7.19,7.19,11,14,2,12,11,3,7,11,3,2,3,6,9,12,12,2,10,12,3,2,13,5,2,6,6,2,9,13,14,12,4,12,14,10,11,4,7,13,3,1,9,12,8,12,11,3,- -  -,,13
Vaughn Covil,"M (RL), AM (RLC), ST (C)",7.18,7.18,11,8,2,12,7,4,9,11,1,4,2,5,2,10,12,1,10,11,5,7,8,2,2,9,7,2,9,9,10,9,3,12,11,8,11,8,7,10,3,4,7,8,8,13,7,1,- -  -,,13
Jaydan Davidson,"M (L), AM (RL)",7.18,7.18,8,8,1,10,6,3,9,8,1,1,2,4,4,10,14,1,7,14,2,5,5,10,3,10,7,4,6,14,13,6,2,12,13,10,11,8,4,5,2,1,4,11,9,16,5,2,- -  -,,14
Chris Willock,"M (L), AM (RLC), ST (C)",7.18,7.18,11,11,3,12,12,4,9,9,3,2,1,4,8,10,12,3,10,11,4,2,12,4,3,6,4,2,7,12,12,9,3,13,12,11,11,8,6,13,2,1,9,13,9,13,7,4,- -  -,Opt,12
Sam Folarin,"WB/M/AM (R), ST (C)",7.15,7.15,10,9,1,8,11,5,10,10,2,2,4,6,7,9,13,2,8,11,6,6,10,9,2,9,7,3,6,13,8,9,3,11,12,8,10,8,7,8,1,3,10,9,8,13,9,2,- -  -,,14
Ato Ampah,D/WB/M/AM (RL),7.14,7.14,9,7,1,6,3,7,8,16,3,3,3,5,1,6,15,3,8,18,5,6,3,7,1,8,3,1,5,16,7,4,1,11,16,5,7,3,10,6,4,1,7,9,8,12,10,1,- -  -,,16
Ben Morris,"AM (RL), ST (C)",7.14,7.14,11,12,2,11,9,7,10,11,2,1,3,8,14,11,12,1,12,13,8,6,12,9,3,8,8,3,11,10,11,13,2,9,13,12,11,7,11,12,3,1,9,11,11,9,9,2,- -  -,,12
D'Margio Wright-Phillips,"M/AM (R), ST (C)",7.13,7.13,10,7,3,9,9,5,9,13,3,1,1,8,12,8,12,2,12,11,5,4,7,11,2,10,7,2,2,11,7,10,1,11,13,7,11,7,10,7,1,1,8,12,10,13,2,3,- -  -,,17
Aidan Barlow,"M/AM (RLC), ST (C)",7.13,7.13,10,12,1,11,7,4,6,12,3,1,1,5,11,12,11,2,11,12,4,2,8,7,2,7,5,3,9,13,13,9,2,10,14,7,9,10,8,10,4,2,9,8,10,14,9,4,- -  -,,11
Odin Bailey,"M (RL), AM (RLC), ST (C)",7.13,7.13,10,9,1,11,9,5,9,11,4,2,1,7,7,12,11,3,11,9,7,6,9,8,4,7,7,1,7,10,11,11,3,13,12,11,9,8,7,11,2,2,11,9,9,13,10,3,- -  -,,11
Stan Mills,"WB/M (R), AM (RLC), ST (C)",7.12,7.12,13,11,3,10,13,7,12,10,3,1,3,6,3,10,12,1,12,8,4,3,8,10,3,9,7,2,4,13,10,10,1,13,14,12,9,6,6,5,1,3,2,11,5,12,12,1,- -  -,Wnt,14
Ashley Nathaniel-George,M/AM (RL),7.10,7.10,12,8,3,9,9,4,7,8,3,3,1,5,8,9,13,1,8,11,4,2,11,6,1,7,7,2,8,16,9,10,1,11,9,8,10,5,5,7,1,3,9,12,8,13,6,3,- -  -,,13
John Porter,"M (L), AM (LC), ST (C)",7.10,7.10,12,9,2,13,15,1,4,10,1,2,2,2,5,6,9,2,10,18,2,2,6,5,2,6,9,3,4,13,10,4,1,8,12,7,6,4,5,10,3,1,4,10,6,7,10,2,- -  -,U18,10
Armstrong Oko-Flex,"M/AM (RL), ST (C)",7.10,7.10,9,8,1,10,8,7,4,10,2,1,2,6,4,8,14,3,12,9,6,7,7,7,3,14,5,2,7,11,12,12,1,12,5,10,8,5,7,8,2,3,8,13,10,12,13,1,- -  -,,13
Kieron Evans,"AM (LC), ST (C)",7.09,7.09,12,12,3,12,11,7,8,13,1,3,2,7,10,12,12,1,12,12,7,4,10,9,3,5,8,3,10,12,10,11,1,12,10,10,12,11,10,12,1,2,9,11,11,11,8,2,- -  -,,12
Maziar Kouhyar,"M (R), AM (RLC)",7.09,7.09,14,11,1,12,13,4,8,10,2,2,3,5,9,11,11,1,10,14,5,5,10,7,2,10,5,3,12,12,12,8,1,11,18,7,10,12,7,11,1,3,12,12,10,11,10,1,- -  -,Inj,11
Tyreke Johnson,"D/WB (L), M/AM (RL)",7.09,7.09,11,10,2,10,11,7,6,9,2,1,3,8,6,10,12,2,8,12,9,7,6,8,3,5,8,2,7,12,11,4,1,10,9,7,9,10,9,6,3,4,8,11,9,11,8,4,- -  -,,13
Kayden Jackson,"AM (RLC), ST (C)",7.08,7.08,13,9,1,8,12,3,9,11,2,1,2,3,10,7,16,3,12,10,4,4,8,7,1,7,7,2,7,10,8,11,1,9,13,11,10,5,9,10,2,3,6,9,8,11,8,2,- -  -,,15
Jeremiah Okine-Peters,M/AM (RL),7.08,7.08,8,10,3,13,8,1,7,7,3,2,2,5,5,9,15,2,13,16,1,3,4,7,3,10,6,1,8,15,15,8,3,14,10,9,13,9,8,10,3,3,7,12,9,15,6,1,- -  -,,15
Alvaro Ruiz Rente,M/AM (R),7.06,7.06,13,8,2,14,8,6,9,12,2,2,1,1,3,12,15,1,13,13,3,6,3,2,2,5,8,3,7,16,14,12,2,13,16,12,13,8,6,7,1,3,8,10,9,15,13,1,- -  -,Wnt,14
Kieran Sadlier,"M (LC), AM (RLC)",7.05,7.05,12,12,1,13,11,5,9,11,2,3,4,11,14,12,12,2,13,12,5,4,12,10,4,9,9,2,11,13,13,7,1,10,8,11,10,11,12,13,1,2,7,12,12,11,9,2,- -  -,Wnt,12
CJ Hamilton,"M/AM (RL), ST (C)",7.05,7.05,15,8,2,8,13,6,6,11,2,1,1,8,9,9,16,1,13,13,7,6,6,8,3,8,5,2,4,10,7,8,2,10,12,7,10,4,9,9,2,1,4,7,8,12,5,2,- -  -,,17
Danny Rowe,M/AM (RLC),7.05,7.05,10,11,3,11,8,7,8,7,3,1,1,7,5,12,8,3,11,9,5,4,12,5,3,8,7,1,11,11,11,9,3,10,14,12,11,12,7,10,3,2,9,10,10,9,8,2,- -  -,Lst,9
Jacob Beaumont-Clark,M/AM (R),7.03,7.03,8,12,3,13,8,3,7,7,2,3,1,3,4,7,15,3,8,13,4,3,12,5,1,8,4,3,5,11,12,8,3,13,14,12,8,5,1,9,3,2,7,15,7,15,9,3,- -  -,Wnt,15
Liam McAlinden,"AM (RL), ST (C)",7.03,7.03,8,9,1,10,11,5,10,12,1,3,3,7,6,8,12,1,12,14,6,2,9,6,2,10,8,1,8,12,7,6,2,9,15,6,9,8,11,11,2,2,10,11,9,10,10,3,- -  -,,12
Conor McAleny,"M (L), AM (RLC), ST (C)",7.03,7.03,14,10,1,12,9,4,3,7,1,3,1,5,12,11,8,2,11,9,4,2,10,7,1,6,6,1,8,13,12,10,2,10,12,8,8,7,6,10,1,3,7,10,9,8,8,1,- -  -,,9
Rhys Oates,"M (RL), AM (RLC), ST (C)",7.03,7.03,14,7,2,9,13,3,11,8,2,1,3,7,5,8,13,2,11,9,3,2,9,6,2,12,7,1,4,13,8,11,3,10,12,8,8,5,8,11,1,1,8,8,9,10,11,1,- -  -,,12
Rayhaan Tulloch,"M/AM (RL), ST (C)",7.01,7.01,7,9,1,10,7,3,6,9,4,3,2,4,3,6,15,3,10,12,3,5,7,6,2,7,6,3,10,17,10,9,3,12,14,8,8,7,8,10,2,2,6,8,8,12,12,2,- -  -,,16
Alex Hurst,"M (RL), AM (RLC), ST (C)",7.01,7.01,14,11,3,9,14,7,11,14,1,1,3,5,8,9,13,4,10,12,4,3,8,8,1,7,5,1,4,9,8,6,2,10,12,8,9,7,7,9,2,1,11,9,8,13,14,4,- -  -,Wnt,11
Stephen Duke-McKenna,"M (RL), AM (RLC)",7.00,7.00,13,12,3,12,11,7,7,12,1,2,1,7,5,10,13,3,12,12,10,9,7,4,3,6,10,1,10,12,9,6,1,13,9,10,12,10,10,11,1,3,12,13,12,12,12,1,- -  -,Wnt,12
Adam Reach,"D/WB (L), M/AM (RLC)",6.99,6.99,14,11,1,11,14,7,9,11,1,2,1,10,7,12,11,3,11,12,8,8,13,13,3,11,12,2,12,11,8,10,1,9,14,9,12,10,11,12,2,1,11,12,10,8,7,3,- -  -,,10
George Thomson,"D/WB (R), M (RLC), AM (RC)",6.99,6.99,12,10,1,11,10,4,7,7,1,2,2,4,8,11,7,3,11,9,3,2,12,10,3,9,8,2,8,12,10,10,3,9,10,9,12,11,5,11,3,1,11,7,9,6,7,1,- -  -,,7
Shilow Tracey,"M/AM (RL), ST (C)",6.99,6.99,13,7,1,11,12,6,13,11,1,2,1,7,8,12,13,1,10,14,3,10,7,7,2,7,8,3,7,11,9,9,2,11,14,8,10,7,8,6,1,3,12,11,9,13,8,1,- -  -,,13
Ephron Mason-Clark,"M (RC), AM (RL), ST (C)",6.98,6.98,10,7,3,9,4,4,9,10,3,2,3,4,7,7,13,4,9,11,3,2,6,6,2,7,5,3,7,11,9,8,1,11,8,7,8,4,6,8,2,3,8,9,7,12,11,2,- -  -,,13
Callum Harriott,M/AM (RL),6.98,6.98,10,10,2,10,9,5,7,8,2,3,1,5,10,8,11,3,10,12,4,3,14,6,1,4,2,4,10,14,10,10,2,13,14,8,10,11,8,12,3,2,9,10,8,11,10,1,- -  -,,12
Davis Keillor-Dunn,"M/AM (RL), ST (C)",6.98,6.98,9,8,1,10,11,4,8,9,3,3,2,4,8,9,11,3,11,9,4,7,12,7,3,4,4,2,5,11,7,11,3,10,14,7,9,11,5,10,1,2,9,8,7,10,10,1,- -  -,,12
Peter Fisher,M/AM (RC),6.98,6.98,12,7,1,14,9,5,10,13,1,1,2,7,5,8,13,3,10,16,4,3,7,3,3,7,5,2,5,14,11,7,1,10,12,12,8,7,4,10,1,3,10,13,9,13,10,4,- -  -,,13
