Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Ross Barrows,"D (RC), WB/M (R)",7.20,7.20,11,8,2,7,13,11,11,12,3,1,1,9,5,9,11,2,8,10,6,15,11,10,3,10,10,4,11,7,7,6,3,6,10,9,8,6,8,8,1,2,11,10,8,10,11,1,- -  -,,10
Tyler Reid,D/WB/M (R),7.15,7.15,13,9,1,9,12,12,15,10,3,3,1,10,6,10,13,2,9,10,11,11,6,5,2,10,11,3,4,11,8,4,1,10,11,9,11,5,9,8,2,2,12,13,9,10,9,3,- -  -,,12
Ato Ampah,D/WB/M/AM (RL),7.14,7.14,9,7,1,6,3,7,8,16,3,3,3,5,1,6,15,3,8,18,5,6,3,7,1,8,3,1,5,16,7,4,1,11,16,5,7,3,10,6,4,1,7,9,8,12,10,1,- -  -,,16
Ryan Nyambe,"D (RC), WB (R)",7.12,7.12,15,7,1,10,14,14,15,14,3,2,2,11,6,8,14,1,10,17,13,7,3,8,4,11,11,1,3,5,9,4,1,8,18,11,6,4,13,9,3,3,13,11,11,12,13,2,- -  -,,14
Macauley Southam-Hales,D/WB/M (R),7.09,7.09,12,9,3,11,12,9,7,12,1,4,1,9,5,9,14,3,10,13,8,5,6,6,2,7,7,3,7,12,10,6,1,11,14,9,12,9,9,9,3,2,8,10,9,13,8,3,- -  -,,15
Kyle Knoyle,D/WB (R),7.05,7.05,12,11,1,11,12,10,12,14,1,3,3,12,5,11,13,1,12,13,10,5,7,16,3,8,10,3,6,6,11,7,2,12,11,13,11,7,13,11,2,3,11,11,12,11,8,3,- -  -,Wnt,11
Adam Lewis,"D/WB (L), DM, M/AM (LC)",7.02,7.02,11,12,3,12,11,12,8,10,2,2,2,8,14,12,12,3,9,12,7,5,10,11,3,4,6,1,11,12,12,10,1,12,17,9,13,12,10,11,3,3,11,9,10,10,14,4,- -  -,Wnt,14
Dan Butler,D/WB/M (L),7.02,7.02,14,9,2,11,13,9,9,13,2,3,2,8,7,10,11,1,9,13,9,10,8,10,1,12,8,2,10,7,10,8,2,10,16,9,11,10,9,8,3,2,12,9,9,9,11,3,- -  -,,12
Mandela Egbo,"D (RL), WB/AM (R)",7.01,7.01,14,7,1,9,11,11,10,12,1,3,4,10,6,10,14,1,11,15,11,14,7,8,1,11,10,2,8,9,9,6,1,12,14,9,13,8,12,8,1,2,12,14,9,14,14,1,- -  -,,14
Vontae Daley-Campbell,"D (RC), WB (R)",7.00,7.00,13,8,2,9,10,12,12,13,3,1,2,11,4,11,15,3,8,17,13,8,5,8,3,11,9,1,4,7,11,6,3,10,4,13,11,7,9,11,3,3,8,11,10,13,11,3,- -  -,Inj,15
Kyle Hancock,D/WB (R),7.00,7.00,6,5,3,7,5,8,6,12,3,3,2,6,1,6,13,2,2,9,8,4,1,3,3,10,3,1,1,6,9,3,3,4,4,10,9,4,11,4,1,1,6,8,6,13,8,1,- -  -,Loa,13
Adam Reach,"D/WB (L), M/AM (RLC)",6.99,6.99,14,11,1,11,14,7,9,11,1,2,1,10,7,12,11,3,11,12,8,8,13,13,3,11,12,2,12,11,8,10,1,9,14,9,12,10,11,12,2,1,11,12,10,8,7,3,- -  -,,10
James Brown,"D (RC), WB (R)",6.99,6.99,14,9,1,11,12,11,12,13,2,1,2,11,5,11,12,4,11,14,11,9,5,9,3,9,9,3,8,10,11,6,3,11,14,9,12,8,10,10,1,3,11,12,10,12,12,2,- -  -,,12
Kane Vincent-Young,"D/WB (RL), M/AM (R)",6.99,6.99,12,6,3,10,12,10,9,12,1,2,1,9,6,10,12,2,6,12,9,5,11,10,2,8,7,3,3,11,7,7,1,10,14,8,7,3,11,8,1,2,8,10,8,11,9,3,- -  -,,12
Kyle John,"D (RL), WB/M/AM (R)",6.98,6.98,9,5,2,7,8,9,8,8,1,4,1,10,4,9,13,3,6,9,10,7,5,12,3,6,3,3,2,6,10,5,2,6,14,13,12,7,13,10,3,2,9,10,12,7,12,3,- -  -,Wnt,15
Jay Benn,D/WB (R),6.98,6.98,14,9,1,12,10,9,10,14,1,1,1,10,5,10,14,2,11,14,8,10,7,10,1,10,9,1,5,12,9,6,3,12,14,10,11,8,11,8,3,2,11,12,10,13,13,1,- -  -,Wnt,14
Niall Osborne,"D (RC), WB (R)",6.98,6.98,10,10,2,10,9,14,9,10,2,3,3,10,6,8,10,1,6,12,9,7,8,14,2,12,9,1,4,9,9,6,2,8,15,12,10,6,9,11,2,2,9,11,12,12,13,1,- -  -,,11
Ben Williams,D/WB (L),6.97,6.97,15,8,1,8,13,13,11,13,1,1,2,12,6,8,14,1,11,13,11,10,6,8,3,12,11,2,7,5,8,6,2,10,13,10,10,7,11,11,2,1,13,12,12,12,13,4,- -  -,,13
Jack Armer,"D (RLC), WB (RL)",6.96,6.96,12,12,4,9,11,12,12,13,3,3,1,10,4,9,11,3,8,12,9,9,2,8,1,8,10,2,7,6,9,2,1,10,8,11,10,6,11,11,1,3,12,9,10,10,10,2,- -  -,Wnt,10
Charlie Wakefield,"WB (R), M/AM (RL), ST (C)",6.95,6.95,12,10,2,13,9,7,8,5,1,2,1,6,10,9,12,2,10,9,5,8,9,6,2,12,6,1,7,14,9,9,2,10,12,8,9,8,10,9,3,4,9,9,9,10,8,1,- -  -,Unh,13
Taylor Allen,D/WB/M/AM (L),6.95,6.95,13,9,3,10,12,9,11,11,1,1,1,10,8,9,12,3,10,9,9,3,8,6,1,13,11,2,6,12,9,10,1,11,15,10,11,4,8,12,2,2,10,10,10,9,12,2,- -  -,Wnt,13
Cameron Coxe,"D (R), WB (RL)",6.94,6.94,14,10,1,9,12,9,8,11,3,2,1,11,2,7,12,1,10,11,9,11,8,9,3,12,8,3,8,12,10,6,1,11,13,10,9,6,11,10,3,1,11,10,10,12,11,2,- -  -,,13
Jack Gurr,D/WB (R),6.93,6.93,13,8,3,11,12,10,8,11,3,1,1,10,6,11,14,2,10,11,7,5,8,14,2,7,7,2,7,5,9,6,4,9,14,10,12,13,10,9,3,2,10,11,9,11,12,2,- -  -,,13
Ryan Cooney,"D/WB (RL), M (RC)",6.93,6.93,10,9,1,9,12,11,12,13,1,1,1,10,8,10,12,2,6,9,10,8,9,12,2,8,6,1,7,8,7,4,2,8,10,10,8,4,9,7,3,3,14,10,10,11,16,3,- -  -,,12
Calum Macdonald,"D (LC), WB (L)",6.93,6.93,13,10,3,10,11,13,10,11,2,1,3,11,6,11,12,3,11,11,13,6,8,7,2,10,11,3,8,7,10,8,3,11,5,10,11,12,13,12,4,1,14,11,11,11,12,3,- -  -,Trn,12
Max Hemmings,"D (RC), WB (R), DM, M (C)",6.91,6.91,11,8,1,8,10,9,10,12,1,3,2,9,5,10,10,3,9,12,9,7,4,4,2,12,10,3,4,8,9,4,3,9,14,8,10,4,10,9,1,1,11,9,9,11,14,2,- -  -,Wnt,11
Besart Topalloj,"D (LC), WB (L)",6.90,6.90,9,9,3,10,11,10,12,11,2,1,3,11,4,9,12,2,7,15,11,10,6,10,1,11,12,1,3,9,10,7,3,7,11,13,7,6,13,11,2,1,10,10,12,9,10,1,- -  -,Wnt,11
Paweł Żuk,D/WB/M/AM (R),6.90,6.90,9,7,1,10,9,9,8,11,1,1,3,10,5,11,8,3,9,5,9,6,7,2,1,9,8,1,7,12,10,10,3,9,10,15,12,9,10,9,1,3,6,9,7,9,10,3,- -  -,Trn,12
Archie Davies,D/WB (R),6.90,6.90,13,8,3,10,11,10,10,13,2,2,3,9,4,9,11,2,8,12,8,7,8,6,2,11,9,3,10,9,9,7,2,9,13,8,11,10,10,8,2,1,10,11,10,12,7,1,- -  -,,12
Solomon Hassan,"D (RL), WB (R)",6.89,6.89,13,8,3,11,11,11,10,13,1,4,2,7,7,7,12,2,6,12,8,7,3,8,1,5,12,2,3,8,9,2,3,7,13,10,10,6,9,8,2,1,15,13,9,14,10,2,- -  -,,14
Daniel Pike,D/WB (R),6.89,6.89,14,9,3,11,12,12,9,13,3,1,3,12,4,10,12,2,10,10,11,7,10,8,3,10,7,3,5,9,11,5,1,11,14,10,11,7,9,11,2,1,12,10,10,10,11,2,- -  -,,13
Ethan Bristow,D/WB (L),6.88,6.88,15,5,2,8,13,10,11,14,1,1,1,12,8,11,14,3,12,15,9,11,7,6,1,12,10,3,7,4,13,7,2,8,14,9,8,8,11,11,1,1,6,12,10,13,7,1,- -  -,Inj,13
