Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
-,BPR,Dante Baptiste,GK,6.90,13,3,7,11,1,6,2,5,1,5,11,7,13,3,9,9,7,1,6,3,3,1,5,9,10,1,13,5,3,4,1,5,3,14,14,2,2,11,8,8,10,15,8,9,8,5,12,12,6,6,2,12,9,9,12,10,12,11,13
-,,John White,D (RC),-,3,12,6,1,8,14,11,9,5,4,3,2,11,6,8,3,4,4,7,9,7,3,12,3,11,11,1,5,1,8,4,4,3,18,8,5,5,10,9,1,1,13,9,9,6,8,9,15,10,5,11,10,19,8,17,15,18,17,3
-,,Jordan Thomas,"D (RL), WB (R)",7.03,15,10,9,3,10,11,9,9,12,2,2,3,10,4,9,15,2,9,9,10,5,5,9,3,9,7,3,4,4,9,5,1,8,15,8,8,4,9,9,3,2,9,11,8,14,8,12,12,4,5,9,8,11,10,12,10,11,10,2
-,,Oliver Denham,D (RLC),-,12,9,3,1,12,12,11,9,11,3,4,3,11,8,12,13,4,2,13,11,6,6,4,1,13,9,1,2,4,10,4,3,4,10,8,3,5,10,8,3,3,10,10,12,7,6,12,18,4,6,9,9,11,12,13,11,10,8,1
-,,Dominic Revan,D (RC),7.60,11,12,10,1,12,12,12,13,10,1,3,2,13,5,11,13,3,10,5,8,8,3,11,2,12,12,1,2,8,9,2,1,8,10,9,3,2,10,8,2,1,10,10,10,10,13,12,9,3,10,13,15,11,9,12,11,20,13,1
-,,Lewis Payne,"D (RC), WB (R)",6.96,14,10,4,1,11,7,12,6,13,3,3,2,7,2,13,14,1,7,13,8,7,3,2,3,12,8,1,1,7,6,1,1,13,2,13,8,3,10,7,2,2,9,14,8,14,10,10,12,8,11,12,5,11,9,12,9,11,11,2
-,,Ricardo Sosa,D (RC),-,9,15,5,3,9,16,9,6,12,1,1,3,12,3,6,7,2,5,14,5,5,2,8,1,9,8,4,1,3,8,4,2,4,13,13,6,3,9,6,2,1,14,13,12,8,11,11,7,12,6,13,7,11,15,14,10,8,7,3
-,,Giles Phillips,D (C),7.22,11,12,7,2,8,9,11,13,14,3,2,3,9,3,6,11,1,8,14,10,5,3,12,1,14,11,1,3,7,8,5,1,5,12,11,4,4,12,9,3,2,14,8,12,9,10,12,14,7,8,11,5,11,11,11,10,5,10,1
-,Yth,Liam Williams,D (C),-,9,6,5,2,6,7,10,8,10,2,2,4,8,6,5,8,2,4,12,7,5,2,15,2,16,7,2,2,7,6,4,1,5,4,7,3,5,8,7,1,1,7,6,6,8,7,7,8,11,12,17,9,10,17,10,15,17,9,3
-,Inj,Christian Anaba,"D (C), DM",6.72,9,8,9,2,8,8,13,14,15,2,1,2,7,5,10,11,1,10,10,8,9,7,8,3,9,13,2,9,7,10,4,1,8,16,11,8,6,12,8,2,3,16,16,13,10,10,14,7,5,9,12,9,10,11,15,13,16,8,1
