Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
-,Hol,Nya Kirby,"DM, M/AM (C)",7.16,13,9,12,2,12,8,10,10,14,2,1,2,9,11,12,13,1,11,12,6,1,11,10,1,7,7,2,9,11,12,9,1,9,14,10,10,10,9,13,1,3,9,8,10,12,8,9,13,6,7,16,4,11,10,11,10,20,11,1
-,Hol,Idris Kanu,"AM (RLC), ST (C)",6.92,14,7,9,4,10,7,7,10,12,1,3,2,8,9,7,13,2,11,13,3,4,8,6,2,10,7,3,4,13,8,7,3,13,13,7,8,5,7,9,3,1,8,13,9,14,8,15,12,4,3,5,5,8,8,11,9,8,12,2
-,Hol,Connor Bailey,"M (C), AM (RC), ST (C)",7.00,15,6,6,3,13,8,1,7,11,3,3,2,6,3,7,14,2,7,12,2,2,5,12,2,10,5,2,7,14,12,5,2,11,11,8,9,5,6,6,1,2,14,13,9,11,5,10,10,7,11,8,9,12,8,16,13,15,8,1
-,Hol,Christian Anaba,"D (C), DM",6.79,9,8,9,2,8,8,13,14,15,2,1,2,7,5,10,11,1,9,11,8,8,8,9,3,9,13,2,8,7,10,3,1,8,16,12,8,6,13,8,2,3,16,16,13,10,10,14,7,5,9,12,9,10,11,15,13,16,8,1
-,Hol,Kian Breckin,"M/AM (C), ST (C)",6.90,13,12,12,2,12,12,9,8,10,3,1,1,9,5,11,12,1,11,15,6,4,9,1,1,7,6,3,6,12,11,12,2,9,4,12,5,6,5,10,4,1,4,14,8,11,15,13,9,5,9,5,5,13,12,12,12,11,13,1
-,Hol,Dominic Revan,D (RLC),7.04,11,12,10,1,12,12,12,13,10,1,3,2,13,5,11,13,3,10,5,8,9,3,11,2,12,12,1,2,8,9,2,1,8,10,9,3,2,11,8,2,1,10,10,10,10,13,12,10,3,10,13,15,11,9,12,11,20,14,1
-,Hol,Giles Phillips,D (C),7.22,11,12,7,2,8,9,11,13,14,3,2,3,10,3,6,11,1,8,14,10,5,3,12,1,14,11,1,3,7,8,5,1,5,12,11,4,4,12,9,3,2,14,8,12,9,10,12,15,7,8,11,5,11,11,11,10,5,11,1
-,Hol,Ryan De Havilland,"DM, M (C)",6.95,12,12,9,2,9,12,8,9,13,2,2,2,11,9,10,10,1,12,12,9,5,7,4,2,9,9,2,9,10,11,10,1,9,6,11,9,9,11,10,2,2,9,9,14,10,10,12,12,4,11,11,5,12,12,12,11,11,15,3
-,Hol,Jordan Thomas,"D (RL), WB (R)",7.07,15,10,9,3,10,11,9,9,12,2,2,3,10,4,9,15,2,10,9,10,5,5,9,3,9,7,3,4,4,9,5,1,8,15,9,8,4,9,9,3,2,9,11,9,14,8,12,12,3,5,9,8,11,10,12,10,10,10,2
-,Hol,Mason O'Malley,D/WB (L),7.09,12,12,9,2,8,13,12,10,11,1,2,4,12,3,10,12,1,6,11,9,5,6,6,2,9,10,2,13,9,9,7,1,8,4,9,12,15,13,11,1,1,10,8,10,10,9,8,13,8,7,10,8,10,10,11,8,19,11,2
