Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
-,Hol,Ben Williams,"DM, M (LC), AM (C)",6.92,6,8,13,1,14,12,7,7,8,2,2,3,7,4,10,9,2,13,11,4,3,5,11,2,4,5,1,5,11,10,9,3,8,13,13,4,6,4,12,1,4,7,12,11,11,9,5,8,3,9,14,5,16,15,12,16,19,9,2
-,Hol,Ross Smith,D/WB (L),6.80,12,14,7,2,10,11,12,11,14,3,1,2,9,3,8,13,2,5,10,7,4,1,10,2,14,10,2,4,9,8,2,2,7,17,11,11,5,12,9,4,3,7,10,10,12,7,15,16,8,12,12,5,9,15,8,12,11,7,3
MCL,Hol,Inglian Parrett,"D (C), DM, M (LC), AM (L)",6.74,10,12,8,2,7,9,10,13,14,3,2,1,9,3,9,11,4,8,14,10,5,4,13,1,11,5,2,3,5,4,3,2,8,11,11,5,2,12,8,2,3,9,7,14,10,14,16,14,9,8,8,5,5,7,15,13,14,9,2
AML,Hol,Kian Breckin,"M (C), AM (LC), ST (C)",6.86,14,12,14,2,14,12,9,9,11,3,1,1,9,5,12,12,1,12,15,6,5,9,3,1,8,7,3,7,12,14,12,2,11,4,13,5,6,5,11,4,1,4,15,10,11,15,12,11,4,9,5,4,13,12,12,12,11,13,1
STC,Hol,Freddie Draper,ST (C),7.09,12,13,10,3,12,8,6,13,13,3,1,3,8,11,10,11,2,11,12,6,4,7,9,1,12,12,3,9,8,10,12,3,11,13,13,9,4,11,13,2,2,12,13,13,10,12,13,10,6,4,11,4,11,12,14,9,10,7,1
-,Hol,Scott Robertson,"M (C), AM (RLC)",7.09,12,15,12,1,13,14,11,12,15,2,2,2,9,12,11,11,2,10,13,9,4,10,8,1,12,8,3,9,9,11,10,3,11,12,10,9,10,9,12,2,3,11,13,11,11,11,14,12,3,8,12,7,11,9,10,9,12,12,3
AMR,Hol,Danny Grant,M/AM (RL),6.86,16,11,8,1,11,8,5,9,11,3,3,3,4,5,11,15,3,13,12,5,4,8,3,1,8,8,1,5,14,12,10,3,13,11,10,11,4,8,12,2,3,7,12,7,13,8,13,16,5,3,9,5,11,11,12,10,10,15,1
GK,Hol,Thomas McGill,GK,6.84,10,10,8,10,10,9,3,10,14,8,13,11,10,3,10,11,12,1,11,1,2,3,9,13,13,7,12,7,1,8,2,4,1,12,10,2,3,11,10,12,10,13,7,9,12,9,12,16,5,6,13,6,13,11,12,12,12,15,14
MCR,Hol,Nya Kirby,"DM, M/AM (C)",7.07,13,10,13,2,13,8,10,10,14,2,1,2,9,11,12,13,1,12,12,6,1,11,11,1,7,7,2,9,11,12,9,1,9,14,11,10,10,9,14,1,3,9,9,11,12,8,9,15,6,7,16,4,11,10,11,10,20,13,1
-,Int,Ricardo Sosa,"D (RC), DM, M (C)",-,12,13,6,3,8,14,10,11,14,1,1,3,13,3,7,11,2,8,15,6,5,1,10,1,7,8,4,1,4,7,3,2,5,13,13,5,3,11,7,2,1,14,15,12,10,11,11,7,12,6,13,7,11,15,14,10,8,8,3
AMC,Trv,Carl Lashley,"WB (R), M (C), AM (RLC)",6.88,11,14,10,3,13,16,4,7,14,3,1,4,7,4,13,10,2,13,12,5,3,6,6,1,4,9,3,7,12,12,7,1,11,17,14,12,6,12,11,3,3,5,10,10,12,6,19,15,7,8,8,7,13,11,10,12,13,9,2
