Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
-,Hol,Inglian Parrett,"DM, M (LC), AM (L)",-,10,13,6,2,8,10,11,11,12,3,2,1,7,3,8,11,4,8,14,10,5,5,12,1,11,5,2,4,4,4,4,2,8,10,9,5,4,8,7,2,3,8,8,10,9,14,17,14,10,8,7,5,5,7,14,12,13,9,2
-,Hol,Brian Garcia,"M (C), ST (C)",-,12,9,9,3,9,6,3,10,11,4,2,1,4,8,10,10,1,9,13,5,4,9,11,3,14,7,1,5,12,9,9,3,5,13,11,6,4,5,11,3,3,7,14,5,11,9,9,12,4,13,15,14,12,13,10,12,16,12,3
-,Hol,Ben Williams,"M (LC), AM (C)",-,5,8,10,1,15,14,7,4,6,2,2,3,6,5,9,8,2,13,11,4,4,6,8,2,6,3,1,6,10,10,10,3,9,13,12,5,6,3,11,1,4,4,9,9,11,9,4,7,3,9,14,5,17,15,12,16,18,9,2
-,Hol,Shane Kelly,D (RC),-,8,6,2,3,6,9,10,10,5,2,1,4,9,3,7,7,4,4,13,9,9,7,15,3,15,5,1,3,5,6,2,2,4,16,8,4,4,6,7,3,3,10,8,6,7,6,11,8,4,14,11,11,11,12,11,12,16,14,3
-,Hol,Liam Williams,D (C),-,9,6,5,2,5,7,10,8,10,2,2,4,8,6,5,8,2,4,12,7,5,2,15,2,16,6,2,2,7,5,4,1,5,4,8,3,5,8,7,1,1,3,7,6,8,7,7,8,11,12,17,9,10,17,10,15,17,9,3
-,Hol,Michael Umar,"DM, M (LC), AM (L)",-,8,10,9,1,5,12,6,12,14,2,4,2,8,5,6,9,3,6,13,7,3,6,11,3,10,5,1,3,4,4,4,2,5,5,9,5,6,7,7,1,1,11,9,11,11,11,8,7,15,6,13,4,13,10,4,9,5,11,3
-,Hol,Ashley Graydon,D (C),-,8,5,4,1,6,6,7,7,7,1,2,3,9,3,5,8,2,4,14,6,4,3,8,2,14,7,3,2,4,4,4,2,5,12,8,3,5,7,5,1,1,8,12,7,6,13,6,11,5,8,14,7,18,15,11,16,19,13,3
-,,Ade Gunter,"M (L), AM (C), ST (C)",-,5,7,5,3,5,7,3,6,6,2,2,3,5,5,6,5,3,6,5,3,4,5,5,2,6,6,3,3,5,6,6,3,5,6,5,5,4,5,6,2,1,7,5,6,6,8,10,7,-,7,8,7,10,10,10,10,10,5,2
-,,Ronny Clyne,M (R),-,5,7,6,1,7,6,4,5,6,2,2,2,5,5,7,4,1,6,5,4,4,6,6,2,6,5,3,5,5,7,5,3,6,6,6,6,5,5,6,1,2,7,6,6,7,7,10,8,-,4,6,5,10,10,10,10,10,5,3
-,,Jezreel Pirone,M (L),-,6,8,7,2,7,7,5,5,6,2,3,3,6,4,7,6,1,8,5,5,4,5,6,3,6,5,3,6,8,8,5,3,8,7,6,8,5,7,7,1,2,5,6,6,5,7,10,6,-,7,6,6,10,10,10,10,10,5,1
-,,Bode Bevins,GK,-,6,6,5,6,4,5,3,7,5,7,4,6,6,3,4,6,6,3,7,2,3,2,6,6,7,4,6,4,4,5,2,6,2,8,5,1,2,6,6,6,7,8,7,7,6,6,10,6,-,5,8,6,10,10,10,10,10,6,5
-,,Matte Devitt,"AM (R), ST (C)",-,5,6,6,2,8,7,4,6,7,2,3,3,5,7,5,8,3,7,7,4,4,6,6,3,7,6,3,5,9,8,7,2,7,6,7,6,4,7,6,2,2,7,6,5,7,8,10,7,-,6,9,8,10,10,10,10,10,8,3
-,,Ali Overland,M (R),-,5,8,6,3,8,6,4,6,7,3,1,3,6,6,8,5,3,8,5,4,5,6,5,2,5,5,2,6,5,8,6,3,6,6,6,7,7,6,7,1,3,5,7,7,7,6,10,7,-,4,8,7,10,10,10,10,10,8,2
-,,Denzel Osborn,M (L),-,4,7,5,2,6,6,4,5,6,2,3,2,4,4,7,4,3,7,5,5,4,6,6,2,5,5,3,5,6,7,5,3,6,6,6,6,5,6,6,2,2,7,6,6,7,7,10,7,-,4,6,6,10,10,10,10,10,6,3
-,,Marlon Davisson,D (R),-,4,5,5,3,7,5,7,6,4,3,2,1,5,3,5,7,1,6,5,6,5,5,6,3,5,6,3,5,7,5,3,2,6,5,6,5,4,5,5,1,3,8,7,6,6,7,10,7,-,5,7,6,10,10,10,10,10,5,3
-,,Dillon Nielsen,D (L),-,6,7,6,3,5,7,4,6,7,3,2,2,6,4,6,7,2,5,7,5,5,5,6,2,5,5,3,4,4,6,3,2,6,5,5,6,4,5,7,1,3,7,7,6,7,7,10,5,-,6,7,5,10,10,10,10,10,5,2
-,,Emile Michael,GK,-,7,5,4,7,4,6,2,5,6,7,5,8,8,2,6,7,7,3,6,3,2,1,7,7,8,5,5,5,3,4,2,5,2,8,8,3,2,7,6,8,7,7,5,7,5,6,10,6,-,7,6,7,10,10,10,10,10,7,5
