Position Selected,Inf,Name,Position,Av Rat,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Loy,Pres,Prof,Spor,Temp,Vers,Aer
STCR,,Ivan Lendrić,ST (C),-,12,10,10,2,12,7,6,12,10,1,3,1,11,11,10,12,1,12,11,5,7,12,8,2,12,10,3,12,13,10,12,4,10,12,8,8,8,6,10,1,3,8,10,13,13,12,14,8,11,6,10,8,6,7,12,11,12,6,4
AMC,,Stephen Buyl,"AM (RLC), ST (C)",-,12,13,10,1,11,13,6,9,11,1,1,3,6,5,11,12,1,10,10,7,6,9,7,1,10,6,2,9,8,11,10,3,12,14,13,11,10,11,11,4,4,13,9,11,11,6,14,14,2,12,5,11,14,12,14,12,11,9,1
DL,,Charni Ekangamene,"D/WB (L), DM, M (C)",-,13,14,5,2,9,14,13,12,12,2,2,1,12,4,9,14,1,5,11,11,7,8,6,1,8,8,3,8,8,9,5,3,8,17,10,4,7,11,8,3,1,14,11,10,12,15,15,12,6,12,4,8,14,12,11,11,18,17,3
DCR,,Jonathan Vervoort,"D (RC), WB (R)",-,12,10,9,1,11,12,14,11,10,2,2,2,12,8,11,11,1,7,10,13,3,6,8,3,11,10,3,1,5,9,6,2,8,10,9,12,5,9,13,1,2,11,11,10,10,15,12,11,4,5,14,9,10,12,8,13,19,16,2
S4,,Gouné Niangadou,"M (RL), AM (RLC)",-,15,11,5,2,12,11,6,8,10,2,3,3,7,1,9,14,1,11,11,7,8,8,4,3,10,7,1,8,12,11,8,2,13,10,9,11,10,10,8,1,2,14,6,7,12,11,9,8,4,7,7,10,9,10,8,10,19,15,3
-,,Julius Bliek,D (C),-,10,9,4,1,8,6,12,14,11,2,1,1,11,1,9,10,1,7,12,11,4,6,8,2,9,13,2,2,7,8,3,1,3,1,14,2,6,13,9,2,2,10,13,14,9,12,13,12,4,13,13,15,10,12,9,13,18,12,1
S3,,Emil Abaz,AM (RLC),-,15,11,11,3,13,12,5,7,7,3,1,2,5,7,12,14,2,12,14,5,9,10,12,1,6,5,3,10,13,12,8,1,13,6,12,13,10,10,10,1,1,11,8,11,12,12,12,12,3,9,2,10,9,10,11,11,12,11,1
S8,,Jason Bourdouxhe,"D/WB (L), DM, M (LC)",-,11,13,11,1,12,10,8,11,10,3,2,1,7,10,12,11,3,11,12,10,6,8,11,3,9,8,1,7,11,12,8,2,10,4,9,11,9,8,13,2,2,14,12,10,12,12,11,13,1,10,11,6,11,11,10,11,16,13,1
MCR,,Momar Gadji,"DM, M (C)",-,10,12,10,2,10,12,11,13,12,1,2,2,11,8,10,10,2,11,12,12,5,9,10,3,13,7,2,8,5,10,8,2,10,15,10,6,6,10,10,2,2,12,12,11,10,11,11,11,1,11,10,9,12,11,12,10,20,11,2
DM,,Matisse Thuys,"DM, M (C)",-,13,10,13,1,13,12,14,5,10,2,2,3,7,8,14,12,2,7,15,8,4,6,7,3,7,8,3,6,13,12,9,3,11,11,11,11,10,14,14,3,1,11,5,13,10,12,11,10,1,12,10,6,9,11,9,10,19,10,2
