Position Selected,Inf,Name,Position,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Age
-,HGC,Matteo Godfroid,GK,12,10,9,11,6,11,2,10,11,8,12,11,10,3,11,11,11,2,10,1,2,2,12,10,16,10,10,9,1,11,1,11,1,4,10,2,4,10,12,13,10,10,10,8,12,5,11,19
-,HGC,Tom Poitoux,GK,8,6,6,7,5,7,2,4,3,8,13,12,13,4,8,8,11,2,11,2,1,2,3,11,12,1,12,5,2,1,3,5,1,13,13,1,2,10,6,6,13,8,7,5,11,7,13,18
-,HGC,Matthieu Epolo,GK,12,9,9,11,3,10,2,6,9,11,13,12,11,3,11,11,9,1,7,3,3,3,11,8,10,2,9,7,3,7,1,5,1,5,13,3,4,11,10,8,9,11,6,6,12,7,10,18
-,HGN,Noah Radelet,GK,11,6,6,6,3,7,2,5,3,7,13,15,6,2,7,9,6,1,9,2,1,1,8,9,13,1,13,5,1,1,3,5,2,7,12,1,3,13,5,5,10,13,7,6,12,8,9,18
-,HGN,Louis Bowron,GK,13,6,7,9,4,8,3,5,1,6,13,5,9,4,10,11,10,3,14,1,3,3,10,12,11,1,6,5,1,2,3,5,3,13,14,2,2,10,8,9,14,10,8,8,7,5,11,16
-,HGN,Quentin Durka,GK,11,5,5,4,2,6,1,4,2,11,13,10,8,3,5,9,10,3,17,3,1,1,2,9,11,1,11,6,1,3,1,11,2,13,13,2,5,9,4,6,8,13,5,10,6,7,9,16
-,HGC,Oscar Olivier,D (R),15,8,8,1,5,8,11,5,9,1,1,1,8,3,8,13,2,5,8,8,5,2,3,4,10,8,3,2,5,5,3,2,7,14,15,11,5,10,4,1,2,7,8,5,15,13,1,16
-,HGN,Amos Nzozi,D (R),14,8,7,3,9,8,9,3,9,1,3,3,6,3,9,10,2,6,15,9,6,2,4,1,4,8,2,2,5,9,3,2,3,12,12,11,6,13,5,3,2,9,8,6,11,9,3,16
-,HGN,Tom Glisenti,D (R),9,7,4,1,3,7,10,7,7,1,1,4,11,1,6,5,2,4,13,9,4,5,9,3,14,8,2,3,5,8,3,2,6,6,14,11,5,8,6,1,2,8,7,8,8,10,3,16
-,Unr,Ibe Hautekiet,D (C),12,8,1,3,4,7,14,6,6,2,2,1,13,1,8,11,1,6,11,14,5,5,11,3,14,13,2,6,5,8,5,1,1,13,12,4,4,9,7,1,3,8,8,10,9,15,2,21
-,,Faroukou Cissé,D (RC),12,13,7,3,8,9,13,12,12,2,1,1,12,9,12,12,1,8,9,9,8,5,6,2,11,9,1,5,9,10,5,1,5,14,9,9,3,9,10,3,1,8,12,10,12,7,2,19
DCL,HGN,Daan Dierckx,D (C),8,12,11,3,10,10,11,13,13,3,1,1,13,4,12,11,2,8,9,12,7,10,7,2,16,13,2,7,5,11,5,2,6,7,10,5,8,12,10,2,3,8,11,10,8,9,3,20
-,HGC,Samy Tory,D (C),10,9,9,4,14,8,14,7,9,3,3,3,15,5,9,10,2,7,14,8,4,3,12,2,11,10,2,6,5,12,5,1,3,3,7,5,5,9,11,2,2,7,9,5,10,13,3,18
-,HGC,Lucas Noubi,D (C),13,10,9,3,11,10,13,12,10,2,3,4,10,5,12,12,4,10,12,13,8,8,11,3,13,12,3,7,12,11,7,3,8,11,8,8,7,10,11,3,1,10,12,12,11,12,1,18
-,Wnt,Mate Šimičić,D (C),14,8,6,2,3,7,13,7,6,4,3,3,13,1,8,13,2,3,15,7,7,3,7,3,11,14,3,3,6,8,6,2,2,7,14,6,6,12,8,2,1,9,6,12,11,6,1,18
-,HGC,Hugo Correira Rocha,D (C),13,9,9,1,10,10,10,10,6,2,4,3,9,5,11,12,3,8,15,11,8,11,11,2,11,10,3,1,7,9,3,2,8,10,11,7,6,11,8,2,2,8,9,8,12,7,1,16
-,HGC,Adriano Mansala,D (C),10,8,7,1,6,6,13,6,4,1,2,3,13,3,7,13,2,2,14,7,5,2,11,2,13,12,1,1,5,8,5,1,2,11,13,3,2,6,4,1,2,9,7,10,13,13,4,15
-,HGN,Exaucée Zola,D (C),13,7,2,2,6,6,7,7,7,3,2,2,11,1,7,10,1,4,15,13,1,4,11,1,8,12,4,1,5,7,3,1,4,8,13,2,4,10,7,1,3,9,7,7,13,8,2,16
-,HGC,Thiago Paulo da Silva,D (L),13,13,7,1,14,10,9,6,8,2,2,2,10,4,9,15,3,7,11,11,8,7,2,2,9,11,3,6,5,11,6,2,12,8,8,12,9,10,8,2,3,11,7,11,15,13,2,18
-,HGN,Wassim Hadidi,D/WB (R),14,9,5,1,9,9,11,4,11,2,3,3,6,5,5,12,3,7,12,10,8,4,10,3,4,9,3,4,8,6,3,3,6,1,13,12,7,10,7,3,2,10,9,10,12,8,3,17
-,,Henry Lawrence,D/WB (RL),13,14,10,1,7,12,11,8,13,2,2,2,9,5,9,12,1,11,16,9,4,7,7,1,6,8,3,5,12,11,8,2,7,16,9,12,8,11,10,3,3,8,10,8,9,10,1,21
DL,HGC,Noah Dodeigne,D/WB (L),14,12,8,2,12,12,12,10,12,3,3,2,10,8,11,14,1,11,12,11,8,8,5,2,10,8,4,8,8,12,6,3,11,8,9,11,8,11,11,2,3,12,10,9,12,14,3,20
-,,Birame Diaw,D/WB (L),13,9,8,1,9,9,14,14,8,2,3,3,7,3,10,10,4,7,13,10,3,1,10,2,6,9,3,3,9,10,1,3,8,18,15,10,5,10,9,1,2,10,10,10,12,12,1,20
-,HGN,Alexandre Chaidron,D/WB (L),14,9,4,2,8,6,14,4,8,1,1,2,8,2,10,13,1,7,12,8,8,7,10,2,8,6,3,1,7,9,4,1,7,13,14,10,5,9,9,4,2,10,9,7,13,12,3,17
-,HGC,Léandre Kuavita,"DM, M (C)",10,13,10,2,10,14,11,10,9,2,2,3,10,3,10,13,3,10,16,13,5,9,6,3,17,8,3,8,5,10,9,3,6,4,10,6,8,12,9,2,1,14,9,8,13,15,2,19
-,HGC,Daniel Osman,"DM, M (C)",10,12,10,1,7,7,9,5,7,1,1,2,9,3,11,11,2,9,13,6,6,6,8,1,8,8,3,6,5,12,5,1,11,14,13,8,3,6,7,3,3,8,7,10,13,10,3,15
-,HGC,Noah Mawete Kinsiona,M (C),13,13,11,1,12,10,6,5,8,3,1,3,5,1,11,14,2,12,12,9,6,14,12,3,7,7,2,7,11,9,4,3,5,11,14,7,6,4,6,2,3,8,6,11,14,6,1,17
